58, 21, 10, 2
28, 10, 12, 2
5, 1, 19, 1
45, 16, 10, 2
67, 13, 27, 3
74, 26, 3, 3
18, 5, 16, 1
76, 28, 14, 2
47, 17, 5, 2
88, 34, 37, 4
31, 12, 8, 2
38, 14, 7, 2
10, 3, 17, 1
78, 30, 21, 3
40, 15, 10, 2
60, 2, 28, 2
55, 20, 15, 2
16, 5, 6, 1
73, 26, 0, 3
39, 15, 6, 2
23, 7, 20, 1
83, 22, 34, 4
12, 4, 0, 1
44, 16, 4, 2
81, 16, 40, 4
22, 7, 11, 1
13, 4, 8, 1
4, 1, 3, 1
79, 30, 22, 3
35, 13, 4, 2
61, 5, 23, 3
33, 12, 17, 2
7, 2, 9, 1
80, 8, 43, 4
26, 10, 9, 1
50, 18, 14, 2
64, 7, 28, 3
62, 5, 30, 3
75, 27, 21, 3
49, 18, 13, 2
65, 9, 25, 3
24, 8, 1, 1
15, 4, 18, 1
2, 1, 1, 1
1, 0, 7, 1
51, 18, 17, 2
20, 7, 2, 1
11, 3, 19, 1
6, 2, 1, 1
8, 3, 3, 1
70, 20, 32, 3
42, 16, 2, 2
94, 36, 7, 4
59, 1, 28, 3
43, 16, 3, 2
72, 27, 24, 3
27, 10, 10, 1
97, 40, 2, 3
69, 16, 24, 3
46, 16, 15, 2
87, 33, 34, 4
25, 8, 9, 1
14, 4, 16, 1
52, 19, 13, 2
77, 30, 1, 3
95, 36, 29, 4
57, 21, 7, 2
63, 6, 28, 3
34, 12, 19, 2
9, 3, 9, 1
30, 11, 16, 2
56, 20, 17, 2
54, 20, 6, 2
86, 26, 34, 4
21, 7, 3, 1
89, 34, 38, 3
29, 10, 16, 2
48, 17, 15, 2
3, 1, 2, 1
36, 13, 8, 2
66, 11, 29, 3
0, 0, 3, 1
68, 13, 29, 3
41, 15, 19, 2
53, 20, 4, 1
37, 13, 12, 2
17, 5, 9, 1
71, 23, 31, 3
19, 6, 21, 1
32, 12, 13, 2
