259, 79, 35, 2
194, 62, 38, 2
199, 64, 12, 2
198, 64, 9, 3
200, 64, 20, 3
183, 58, 9, 2
247, 76, 18, 1
167, 51, 12, 2
197, 64, 5, 3
165, 50, 19, 2
184, 58, 11, 1
203, 65, 18, 3
260, 80, 4, 2
296, 89, 1, 3
192, 62, 14, 2
284, 86, 37, 2
264, 81, 27, 2
219, 69, 43, 1
195, 62, 43, 4
214, 68, 15, 2
281, 85, 31, 1
169, 51, 32, 2
287, 87, 7, 3
186, 59, 11, 2
276, 84, 29, 2
250, 77, 33, 4
225, 71, 33, 1
277, 84, 32, 2
168, 51, 13, 3
240, 74, 7, 3
262, 81, 10, 2
193, 62, 37, 2
226, 71, 35, 2
191, 62, 6, 1
190, 61, 12, 2
288, 87, 24, 1
213, 68, 9, 3
218, 69, 18, 3
181, 57, 9, 2
201, 65, 11, 1
234, 73, 13, 1
268, 83, 5, 1
178, 55, 12, 2
207, 66, 5, 2
235, 73, 30, 3
263, 81, 22, 4
189, 60, 42, 1
237, 73, 42, 2
202, 65, 15, 1
241, 74, 20, 1
208, 66, 42, 2
188, 60, 19, 1
283, 86, 35, 2
269, 83, 36, 1
257, 79, 5, 2
248, 76, 34, 1
252, 78, 34, 3
174, 53, 19, 2
258, 79, 9, 2
236, 73, 34, 3
297, 89, 11, 1
253, 78, 42, 1
